step,date,type,price,shares,cost/proceeds,balance,shares_held,net_worth
219,2022-12-06,BUY,142.91,4000,-573356.08,201659.12,4000,773299.13
220,2022-12-07,BUY,140.94,1300,-183772.04,17887.08,5300,764869.10
221,2022-12-08,BUY,142.65,100,-14307.82,3579.26,5400,773889.23
227,2022-12-16,SELL,134.51,5400,724176.36,727755.62,0,727755.62
228,2022-12-19,BUY,132.37,3800,-504516.01,223239.62,3800,726245.60
229,2022-12-20,BUY,132.30,1600,-212315.47,10924.15,5400,725344.16
237,2023-01-03,SELL,125.07,5400,673353.22,684277.36,0,684277.36
240,2023-01-06,BUY,129.62,3800,-494034.63,190242.73,3800,682798.71
241,2023-01-09,BUY,130.15,1300,-169702.92,20539.81,5100,684304.78
242,2023-01-10,BUY,130.73,100,-13112.24,7427.57,5200,687223.55
243,2023-01-11,SELL,133.49,5200,692066.97,699494.54,0,699494.54
248,2023-01-31,BUY,144.29,4000,-578892.61,120601.93,4000,697761.91
249,2023-02-01,BUY,145.43,700,-102106.60,18495.33,4700,702016.30
252,2023-02-06,BUY,151.73,100,-15218.55,3276.78,4800,731580.76
283,2023-03-24,SELL,160.25,4800,766893.94,770170.72,0,770170.72
292,2023-04-12,BUY,160.10,4500,-722612.82,47557.90,4500,768007.93
293,2023-04-13,BUY,165.56,200,-33211.40,14346.50,4700,792478.49
359,2023-07-24,SELL,192.75,4700,903209.04,917555.54,0,917555.54
372,2023-08-11,BUY,177.79,4800,-855953.85,61601.69,4800,914993.66
373,2023-08-14,SELL,179.46,4800,858825.53,920427.22,0,920427.22
374,2023-08-15,BUY,177.45,4900,-872115.24,48311.98,4900,917816.96
375,2023-08-16,SELL,176.57,4900,862599.19,910911.17,0,910911.17
382,2023-08-25,BUY,178.61,4800,-859901.70,51009.46,4800,908337.47
383,2023-08-28,BUY,180.19,200,-36146.19,14863.28,5000,915813.29
384,2023-08-29,SELL,184.12,5000,917840.02,932703.30,0,932703.30
401,2023-09-22,BUY,174.79,5000,-876573.56,56129.73,5000,930079.70
420,2023-10-24,SELL,173.44,5000,864600.15,920729.88,0,920729.88
424,2023-10-30,BUY,170.29,5100,-871086.14,49643.74,5100,918122.70
425,2023-10-31,BUY,170.77,200,-34256.53,15387.21,5300,920468.23
427,2023-11-02,SELL,177.57,5300,938299.56,953686.76,0,953686.76
436,2023-11-15,BUY,188.01,4800,-905157.12,48529.64,4800,950977.62
437,2023-11-16,BUY,189.71,200,-38055.90,10473.74,5000,959023.77
441,2023-11-22,SELL,191.31,5000,953682.25,964155.99,0,964155.99
446,2023-11-30,BUY,189.95,4800,-914497.09,49658.90,4800,961418.89
447,2023-12-01,BUY,191.24,200,-38362.82,11296.08,5000,967496.11
464,2023-12-27,SELL,193.15,5000,962854.65,974150.73,0,974150.73
